호선,역명,출구번호,위도,경도
2,문양,1,35.86383,128.4371
2,문양,2,35.86419,128.4375
2,다사,1,35.86547,128.458
2,다사,2,35.86531,128.4578
2,다사,3,35.86476,128.4583
2,다사,4,35.86492,128.4585
2,대실,1,35.85772,128.4655
2,대실,2,35.85744,128.4652
2,대실,3,35.85687,128.4659
2,대실,4,35.8571,128.4663
2,강창,1,35.85333,128.4775
2,강창,2,35.85293,128.4777
2,강창,3,35.85261,128.4782
2,강창,4,35.8529,128.4785
2,강창,5,35.85281,128.4797
2,강창,6,35.85321,128.4797
2,계명대,1,35.85185,128.491
2,계명대,2,35.85131,128.4909
2,계명대,3,35.85106,128.4916
2,계명대,4,35.85104,128.4923
2,계명대,5,35.85163,128.4931
2,계명대,6,35.8519,128.4923
2,계명대,7,35.85205,128.4918
2,성서산업단지,1,35.85198,128.5066
2,성서산업단지,2,35.85155,128.5067
2,성서산업단지,3,35.85124,128.5071
2,성서산업단지,4,35.85119,128.5074
2,성서산업단지,5,35.85142,128.5079
2,성서산업단지,6,35.85191,128.5076
2,성서산업단지,7,35.85223,128.5074
2,성서산업단지,8,35.85237,128.507
2,이곡,1,35.85088,128.5151
2,이곡,2,35.85045,128.5153
2,이곡,3,35.85036,128.5161
2,이곡,4,35.85075,128.5162
2,이곡,5,35.85095,128.5159
2,이곡,6,35.85096,128.5156
2,용산,1,35.84918,128.5281
2,용산,2,35.84879,128.5282
2,용산,3,35.84848,128.5288
2,용산,4,35.84895,128.5293
2,용산,5,35.84933,128.5292
2,용산,6,35.84999,128.5285
2,죽전,1,35.85056,128.5369
2,죽전,2,35.84951,128.5369
2,죽전,3,35.84976,128.5375
2,죽전,4,35.85034,128.5383
2,죽전,5,35.85068,128.5381
2,죽전,6,35.85085,128.5375
2,감삼,1,35.85432,128.5475
2,감삼,2,35.85395,128.5477
2,감삼,3,35.85427,128.5486
2,감삼,4,35.85463,128.5484
2,두류,1,35.85756,128.556
2,두류,2,35.85739,128.5555
2,두류,3,35.85704,128.5546
2,두류,4,35.85689,128.5542
2,두류,5,35.85674,128.5538
2,두류,6,35.85663,128.5535
2,두류,7,35.8564,128.5541
2,두류,8,35.85656,128.5545
2,두류,9,35.85691,128.5554
2,두류,10,35.85712,128.5559
2,두류,11,35.85732,128.5564
2,두류,12,35.85734,128.5568
2,두류,13,35.85744,128.557
2,두류,14,35.85733,128.5574
2,두류,15,35.85754,128.5581
2,두류,16,35.8578,128.5582
2,두류,17,35.85841,128.5579
2,두류,18,35.85856,128.5575
2,두류,19,35.85831,128.5569
2,두류,20,35.85796,128.5567
2,내당,1,35.86023,128.5642
2,내당,2,35.85989,128.5644
2,내당,3,35.86007,128.5652
2,내당,4,35.86046,128.565
2,반고개,1,35.86237,128.5723
2,반고개,2,35.86198,128.5724
2,반고개,3,35.86216,128.5732
2,반고개,4,35.86254,128.573
2,청라언덕2,1,35.86495,128.5819
2,청라언덕2,2,35.86454,128.5819
2,청라언덕2,3,35.86423,128.5822
2,청라언덕2,4,35.86376,128.5822
2,청라언덕2,5,35.86379,128.5825
2,청라언덕2,6,35.86423,128.5825
2,청라언덕2,7,35.86441,128.5825
2,청라언덕2,8,35.86481,128.5828
2,청라언덕2,9,35.86522,128.5828
2,반월당2,1,35.86367,128.5931
2,반월당2,2,35.86366,128.5935
2,반월당2,3,35.86474,128.5935
2,반월당2,4,35.86503,128.5938
2,반월당2,5,35.86514,128.5944
2,반월당2,6,35.86508,128.5947
2,반월당2,7,35.86501,128.5951
2,반월당2,8,35.86495,128.5954
2,반월당2,9,35.86483,128.5961
2,반월당2,10,35.86517,128.5963
2,반월당2,11,35.86533,128.5954
2,반월당2,12,35.86554,128.5942
2,반월당2,13,35.86593,128.5937
2,반월당2,14,35.8661,128.5931
2,반월당2,15,35.86627,128.5922
2,반월당2,16,35.86602,128.5922
2,반월당2,17,35.86599,128.5916
2,반월당2,18,35.86618,128.5909
2,반월당2,19,35.86578,128.5908
2,반월당2,20,35.86565,128.5916
2,반월당2,21,35.86547,128.5926
2,반월당2,22,35.86532,128.5928
2,반월당2,23,35.86478,128.5932
2,경대병원,1,35.8635,128.6022
2,경대병원,2,35.86313,128.6021
2,경대병원,3,35.8629,128.6031
2,경대병원,4,35.86329,128.6032
2,대구은행,1,35.86,128.6138
2,대구은행,2,35.85961,128.6137
2,대구은행,3,35.85957,128.6145
2,대구은행,4,35.85997,128.6145
2,범어,1,35.85943,128.6245
2,범어,2,35.85901,128.6244
2,범어,3,35.85881,128.625
2,범어,4,35.85954,128.6251
2,범어,5,35.85882,128.6256
2,범어,6,35.8586,128.6272
2,범어,7,35.85874,128.6279
2,범어,8,35.85905,128.6292
2,범어,9,35.85908,128.6287
2,범어,10,35.85913,128.628
2,범어,11,35.85938,128.6269
2,수성구청,1,35.85903,128.6354
2,수성구청,2,35.85862,128.6354
2,수성구청,3,35.85863,128.6361
2,수성구청,4,35.85902,128.6362
2,만촌,1,35.85908,128.6445
2,만촌,2,35.8587,128.6445
2,만촌,3,35.8587,128.6454
2,만촌,4,35.85909,128.6454
2,담티,1,35.85517,128.6537
2,담티,2,35.85485,128.6534
2,담티,3,35.85448,128.6542
2,담티,4,35.85484,128.6544
2,연호,1,35.8469,128.6715
2,연호,2,35.84659,128.6712
2,연호,3,35.84626,128.6719
2,연호,4,35.84659,128.6721
2,수성알파시티,1,35.84298,128.6799
2,수성알파시티,2,35.84257,128.6793
2,수성알파시티,3,35.84196,128.6795
2,수성알파시티,4,35.84182,128.68
2,수성알파시티,5,35.84222,128.6806
2,고산,1,35.84316,128.6929
2,고산,2,35.84277,128.693
2,고산,3,35.84276,128.6936
2,고산,4,35.84316,128.6937
2,신매,1,35.84113,128.7047
2,신매,2,35.84076,128.7045
2,신매,3,35.84044,128.7047
2,신매,4,35.84036,128.705
2,신매,5,35.84057,128.7053
2,신매,6,35.84096,128.7054
2,신매,7,35.84126,128.705
2,사월,1,35.83731,128.7151
2,사월,2,35.83691,128.7151
2,사월,3,35.8367,128.7159
2,사월,4,35.83708,128.7161
2,정평,1,35.83437,128.7278
2,정평,2,35.834,128.7277
2,정평,3,35.83388,128.7287
2,정평,4,35.83425,128.7287
2,임당,1,35.83429,128.7406
2,임당,2,35.83393,128.7406
2,임당,3,35.83366,128.7409
2,임당,4,35.83367,128.7413
2,임당,5,35.83394,128.7417
2,임당,6,35.83429,128.7416
2,임당,7,35.83462,128.7412
2,임당,8,35.83457,128.7409
2,영남대,1,35.83631,128.7525
2,영남대,2,35.83591,128.7525
2,영남대,3,35.83593,128.7535
2,영남대,4,35.83644,128.7536
2,영남대,5,35.8367,128.7534
